words;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14
greet;3,93E-05;9,90E-05;4,28E-06;1,27E-06;1,36E-05;2,82E-06;2,63E-06;0,000257858;6,23E-05;4,02E-06;4,25E-05;2,20E-06;8,13E-05;7,32E-05
golda;5,17E-07;1,39E-06;4,28E-06;1,27E-06;3,84E-05;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
kiddi;5,69E-06;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;2,34E-05;1,90E-05;4,02E-06;1,37E-06;1,32E-05;2,62E-06;2,03E-06
tsegw;5,17E-07;1,39E-06;4,28E-06;3,95E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,24E-05
skcla;5,17E-07;1,39E-06;4,28E-06;3,31E-05;1,24E-06;2,82E-06;2,63E-06;0,00014065;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
osiri;5,69E-06;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;0,000375066;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
sparc;5,17E-07;3,63E-05;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;0,000248406;2,20E-06;0,001169085;7,32E-05
sserv;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;1,32E-05;2,62E-06;2,24E-05
eaten;8,28E-06;1,39E-06;4,28E-06;0,000115866;2,60E-05;2,82E-06;1,58E-05;2,34E-05;1,73E-06;6,44E-05;1,37E-06;2,42E-05;2,62E-06;2,03E-06
latex;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;9,74E-05;1,32E-05;2,62E-06;3,25E-05
cameo;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;5,93E-05;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
gloss;1,34E-05;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
spars;5,17E-07;8,37E-06;6,84E-05;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,51E-05;2,20E-06;2,88E-05;2,03E-06
obtus;3,10E-06;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;2,34E-05;1,73E-06;4,02E-06;1,51E-05;2,20E-06;2,62E-06;2,03E-06
booth;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;1,69E-05;2,63E-06;3,91E-06;7,97E-05;4,02E-06;5,63E-05;1,32E-05;2,62E-06;1,22E-05
matza;5,17E-07;1,39E-06;4,28E-06;1,27E-06;5,07E-05;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
black;0,000300496;0,000489605;4,28E-06;0,000434179;0,000347727;0,0008071;0,000778169;0,000199254;0,000824299;0,000466895;3,57E-05;0,000585317;0,00068415;0,000144426
clamp;5,17E-07;4,32E-05;4,28E-06;1,27E-06;1,36E-05;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;8,13E-05;2,03E-06
tenet;2,38E-05;8,37E-06;4,28E-06;1,27E-06;1,98E-05;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;8,23E-06;2,20E-06;2,62E-06;2,03E-06
mucus;5,17E-07;1,39E-06;4,28E-06;0,000173162;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,42E-05;2,62E-06;2,03E-06
welli;3,10E-06;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;3,25E-05
erect;3,10E-06;1,39E-06;4,28E-06;1,27E-06;1,36E-05;2,82E-06;5,52E-05;6,25E-05;2,77E-05;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
homer;5,17E-07;8,37E-06;4,28E-06;1,40E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;0,000703079;4,02E-06;1,37E-06;5,72E-05;1,57E-05;2,03E-06
miami;5,17E-07;4,32E-05;4,28E-06;1,27E-06;7,42E-06;2,82E-06;2,63E-06;3,91E-06;0,000192221;4,02E-06;1,37E-06;0,00010122;2,62E-06;7,32E-05
cosmo;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;0,000287466;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
nuanc;1,34E-05;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
funet;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;0,000248406;2,20E-06;2,62E-06;2,03E-06
infom;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;2,20E-05;2,42E-05;2,62E-06;1,22E-05
splat;1,60E-05;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;2,88E-05;2,20E-06;2,62E-06;2,03E-06
spake;2,64E-05;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
begun;1,86E-05;1,39E-06;4,28E-06;4,58E-05;6,31E-05;1,69E-05;2,89E-05;3,91E-06;1,90E-05;4,02E-06;2,20E-05;4,62E-05;1,57E-05;2,03E-06
deduc;2,64E-05;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
allen;2,64E-05;1,39E-06;4,28E-06;4,58E-05;2,60E-05;0,00082121;0,000778169;0,00014065;0,000140269;0,000124774;1,37E-06;0,000266253;1,57E-05;0,000225793
getin;5,69E-06;1,39E-06;4,28E-06;7,64E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;8,23E-06;2,20E-06;2,62E-06;2,03E-06
xclrp;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;0,000199216;2,03E-06
woodi;8,28E-06;2,93E-05;4,28E-06;2,04E-05;1,24E-06;2,82E-06;2,63E-06;6,25E-05;1,04E-05;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
abort;0,000191883;1,39E-06;4,28E-06;2,67E-05;1,24E-06;2,82E-06;0,000318103;3,91E-06;1,73E-06;0,000104649;1,37E-06;0,000585317;8,13E-05;2,03E-06
infin;5,17E-07;1,39E-06;4,28E-06;0,0001095;1,24E-06;0,000567228;1,58E-05;3,91E-06;1,73E-06;4,02E-06;8,23E-06;2,20E-06;2,62E-06;2,03E-06
toall;1,09E-05;1,39E-06;4,28E-06;7,64E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;8,23E-06;1,32E-05;2,62E-06;1,22E-05
ncube;5,17E-07;8,51E-05;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;1,32E-05;2,62E-06;2,03E-06
deiti;0,000160851;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,04E-05;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
basim;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;8,15E-05;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
deput;5,17E-07;1,39E-06;4,28E-06;1,27E-06;3,84E-05;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
toadd;5,17E-07;8,37E-06;4,28E-06;7,64E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
cigar;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;3,10E-05;2,63E-06;2,34E-05;1,04E-05;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
blast;5,17E-07;4,32E-05;4,28E-06;9,68E-05;6,93E-05;2,82E-06;2,63E-06;3,91E-06;5,37E-05;6,44E-05;1,37E-06;2,20E-06;2,62E-06;2,03E-06
cchem;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;3,25E-05
lansd;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;2,88E-05;2,20E-06;2,62E-06;2,03E-06
xtiff;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;3,57E-05;2,20E-06;1,57E-05;2,03E-06
uktel;1,86E-05;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,88E-05;2,03E-06
karen;5,17E-07;1,39E-06;4,28E-06;4,58E-05;1,24E-06;4,52E-05;2,63E-06;3,91E-06;2,77E-05;4,43E-05;1,37E-06;1,32E-05;8,13E-05;1,22E-05
spite;3,93E-05;1,39E-06;4,28E-06;5,22E-05;1,24E-06;7,34E-05;2,63E-06;3,91E-06;1,04E-05;4,02E-06;1,37E-06;3,52E-05;2,62E-06;2,03E-06
menon;5,17E-07;1,39E-06;4,28E-06;7,13E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
tsoft;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;0,000124085
argic;5,17E-07;1,39E-06;4,28E-06;1,27E-06;0,001851245;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
beget;2,64E-05;2,23E-05;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
kludg;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;0,000375066;1,73E-06;4,02E-06;1,51E-05;2,20E-06;2,62E-06;2,03E-06
ifthi;5,17E-07;1,39E-06;4,28E-06;7,64E-06;1,24E-06;5,93E-05;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
charl;1,86E-05;0,000273397;4,28E-06;0,000185895;1,98E-05;4,52E-05;0,000147221;0,001000176;0,000287466;4,02E-06;2,20E-05;0,000475295;2,62E-06;0,000469894
acopi;5,17E-07;1,39E-06;2,57E-05;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;2,20E-05;2,20E-06;2,62E-06;2,03E-06
jerki;8,28E-06;1,53E-05;4,28E-06;1,27E-06;7,42E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
wawer;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;5,93E-05;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
brock;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;0,000122952;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
keren;4,71E-05;1,39E-06;4,28E-06;1,27E-06;4,45E-05;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;1,32E-05;2,62E-06;2,03E-06
wasin;5,17E-07;1,39E-06;4,28E-06;2,67E-05;3,22E-05;2,82E-06;2,63E-06;3,91E-06;3,64E-05;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
cabot;5,17E-07;1,39E-06;4,28E-06;9,68E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;8,23E-06;2,20E-06;2,62E-06;2,03E-06
tidal;5,17E-07;1,39E-06;4,28E-06;1,27E-06;7,42E-06;2,82E-06;5,52E-05;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
paull;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;3,10E-05;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
tcora;5,17E-07;1,39E-06;4,28E-06;2,67E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
simul;3,10E-06;2,93E-05;4,28E-06;1,27E-06;1,24E-06;0,000270915;0,000278669;3,91E-06;1,73E-06;4,02E-06;0,000474854;2,20E-06;2,62E-06;0,000134255
soenk;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;4,94E-05;2,20E-06;2,62E-06;2,03E-06
fundi;3,93E-05;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
difer;5,17E-07;5,72E-05;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;2,34E-05;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
pirat;5,17E-07;1,53E-05;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;0,000434662;6,44E-05;2,88E-05;2,20E-06;2,62E-06;0,000439382
raffi;5,17E-07;1,39E-06;4,28E-06;1,27E-06;0,000217793;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
slave;0,00031084;0,0002455;4,28E-06;1,27E-06;1,98E-05;2,82E-06;2,63E-06;2,34E-05;1,73E-06;4,02E-06;1,37E-06;2,20E-06;1,57E-05;2,03E-06
douch;5,17E-07;1,39E-06;4,28E-06;1,40E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;2,41E-05;1,37E-06;2,20E-06;2,62E-06;1,22E-05
asani;8,28E-06;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;3,25E-05
blink;5,69E-06;1,39E-06;4,28E-06;2,67E-05;7,42E-06;2,82E-06;2,63E-06;4,30E-05;1,90E-05;4,02E-06;1,37E-06;2,20E-06;0,000697257;2,03E-06
notgo;5,17E-07;1,53E-05;4,28E-06;1,27E-06;7,42E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,24E-05
jhart;5,17E-07;1,39E-06;4,28E-06;7,64E-06;1,24E-06;2,82E-06;2,63E-06;8,20E-05;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
scian;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;4,25E-05;2,20E-06;2,62E-06;2,03E-06
innat;2,64E-05;1,39E-06;4,28E-06;1,27E-06;1,36E-05;1,69E-05;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
horac;5,17E-07;1,39E-06;4,28E-06;4,58E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;5,72E-05;2,62E-06;2,03E-06
druwa;3,10E-06;1,39E-06;4,28E-06;4,58E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
randi;4,19E-05;7,81E-05;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;0,000355531;0,000607834;4,02E-06;1,51E-05;2,20E-06;2,62E-06;2,03E-06
sledd;3,15E-05;1,39E-06;4,70E-05;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
kinci;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;1,32E-05;2,62E-06;2,03E-06
buddi;3,10E-06;8,37E-06;4,28E-06;1,27E-06;7,42E-06;3,10E-05;2,63E-06;3,91E-06;5,37E-05;4,02E-06;1,37E-06;2,20E-06;2,62E-06;3,25E-05
creep;5,17E-07;1,39E-06;4,28E-06;7,64E-06;3,22E-05;3,10E-05;2,63E-06;3,91E-06;1,90E-05;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
lciii;5,17E-07;0,000698837;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
cramp;3,10E-06;2,23E-05;4,28E-06;1,40E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,04E-05;4,43E-05;1,37E-06;2,42E-05;1,57E-05;2,03E-06
frost;5,17E-07;1,39E-06;4,28E-06;0,000275023;1,24E-06;2,82E-06;5,52E-05;4,30E-05;1,73E-06;4,02E-06;2,20E-05;2,20E-06;5,50E-05;2,24E-05
revis;5,74E-05;0,000315244;4,28E-06;1,40E-05;7,55E-05;2,82E-06;0,000147221;3,91E-06;1,73E-06;4,43E-05;0,000118027;0,000178235;0,000133685;1,22E-05
gotto;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;3,64E-05;4,02E-06;1,37E-06;1,32E-05;2,62E-06;2,03E-06
match;6,78E-05;0,000147858;4,28E-06;0,000134965;2,60E-05;7,34E-05;0,000147221;3,91E-06;0,000114294;0,000728517;4,25E-05;0,00029926;0,000146791;2,03E-06
wwizm;5,17E-07;1,39E-06;8,98E-05;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
mynew;3,10E-06;2,23E-05;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;1,22E-05
swung;5,17E-07;1,39E-06;4,28E-06;1,27E-06;5,69E-05;2,82E-06;2,63E-06;3,91E-06;5,37E-05;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
outgo;5,17E-07;1,39E-06;4,28E-06;7,64E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,04E-05;4,02E-06;8,23E-06;2,20E-06;1,57E-05;2,03E-06
scrow;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,43E-05;1,37E-06;2,20E-06;2,62E-06;4,27E-05
idiot;7,81E-05;5,02E-05;4,28E-06;1,40E-05;0,000118796;2,82E-06;2,63E-06;3,91E-06;0,000339417;4,02E-06;1,37E-06;2,20E-06;2,62E-06;1,22E-05
stdin;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;0,000366271;1,37E-06;2,20E-06;2,62E-06;2,03E-06
cattl;1,60E-05;1,39E-06;4,28E-06;1,27E-06;1,98E-05;2,82E-06;2,63E-06;0,000121115;1,73E-06;4,02E-06;1,37E-06;1,32E-05;2,62E-06;2,03E-06
escal;5,17E-07;1,39E-06;4,28E-06;1,27E-06;3,22E-05;2,82E-06;2,63E-06;3,91E-06;0,000114294;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
haggl;3,10E-06;1,39E-06;4,28E-06;6,49E-05;1,24E-06;7,34E-05;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
onion;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;3,10E-05;2,63E-06;4,30E-05;1,04E-05;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
jacqu;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;1,58E-05;0,000179719;1,04E-05;6,44E-05;1,37E-06;2,20E-06;2,62E-06;6,31E-05
modei;5,17E-07;8,37E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;5,50E-05;1,22E-05
alleg;0,000168609;3,63E-05;4,28E-06;1,27E-06;0,000236355;1,69E-05;8,15E-05;2,34E-05;0,000400028;4,43E-05;1,37E-06;2,20E-06;2,62E-06;2,03E-06
clown;2,90E-05;1,39E-06;4,28E-06;1,27E-06;7,55E-05;2,82E-06;2,63E-06;2,34E-05;1,73E-06;4,02E-06;8,23E-06;2,20E-06;2,62E-06;2,03E-06
pepsi;5,69E-06;1,39E-06;4,28E-06;1,27E-06;1,24E-06;3,10E-05;1,58E-05;0,00010158;1,73E-06;4,02E-06;1,37E-06;2,20E-06;1,57E-05;2,03E-06
chome;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;4,52E-05;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,51E-05;2,20E-06;2,62E-06;2,03E-06
areth;8,28E-06;1,39E-06;4,28E-06;3,31E-05;1,24E-06;2,82E-06;2,89E-05;3,91E-06;1,73E-06;2,41E-05;1,37E-06;2,20E-06;2,62E-06;2,03E-06
seeth;5,69E-06;1,39E-06;4,28E-06;7,64E-06;1,24E-06;3,10E-05;2,63E-06;3,91E-06;4,50E-05;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
unimi;5,17E-07;1,53E-05;4,28E-06;7,64E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;3,57E-05;2,20E-06;2,62E-06;2,03E-06
husak;5,17E-07;1,39E-06;4,28E-06;2,67E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
forti;2,90E-05;1,39E-06;4,28E-06;2,67E-05;5,69E-05;2,82E-06;5,52E-05;0,000218788;1,04E-05;4,02E-06;1,37E-06;0,00010122;2,62E-06;2,03E-06
talat;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;6,84E-05;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
lenin;2,38E-05;8,37E-06;4,28E-06;1,27E-06;5,07E-05;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
bitof;5,17E-07;1,53E-05;4,28E-06;1,27E-06;1,24E-06;2,82E-06;1,58E-05;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
honey;1,09E-05;1,53E-05;4,28E-06;3,31E-05;1,24E-06;2,82E-06;2,63E-06;2,34E-05;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;1,22E-05
enabl;2,12E-05;0,000315244;4,28E-06;1,27E-06;3,84E-05;2,82E-06;4,21E-05;3,91E-06;1,90E-05;2,41E-05;0,000234682;2,20E-06;5,50E-05;0,000205452
glynn;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;3,25E-05
jussi;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;8,23E-06;2,20E-06;2,62E-06;3,25E-05
resum;2,64E-05;8,37E-06;4,28E-06;5,86E-05;4,45E-05;2,82E-06;2,63E-06;3,91E-06;4,50E-05;4,02E-06;0,000111165;1,32E-05;1,57E-05;2,03E-06
panic;5,17E-07;1,39E-06;4,28E-06;6,49E-05;6,93E-05;2,82E-06;2,63E-06;0,000121115;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
hough;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;3,64E-05;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
arous;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,36E-05;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;1,32E-05;2,62E-06;2,03E-06
sober;8,28E-06;1,39E-06;4,28E-06;7,64E-06;7,42E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;1,32E-05;2,62E-06;2,03E-06
wacko;5,17E-07;8,37E-06;4,28E-06;2,04E-05;1,24E-06;7,34E-05;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
notto;1,34E-05;2,23E-05;4,28E-06;7,64E-06;1,24E-06;3,10E-05;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
mirza;3,10E-06;1,39E-06;4,28E-06;1,27E-06;7,42E-06;3,10E-05;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
wagga;5,17E-07;2,93E-05;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
mizar;5,17E-07;1,39E-06;4,28E-06;1,40E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;4,50E-05;4,02E-06;8,23E-06;2,20E-06;1,57E-05;1,22E-05
famer;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;8,83E-05;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
hobbi;3,10E-06;1,39E-06;4,28E-06;1,27E-06;1,24E-06;4,52E-05;2,63E-06;6,25E-05;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
feral;5,17E-07;8,37E-06;4,28E-06;2,04E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
