Words;T1_lev1;T2_lev1;T3_lev1;T4_lev1;T5_lev1;T6_lev1;T7_lev1;T8_lev1;T9_lev1;T10_lev1;T1_lev2;T2_lev2;T3_lev2;T4_lev2;T5_lev2;T6_lev2;T7_lev2;T8_lev2;T9_lev2;T10_lev2;T11_lev2;T12_lev2;T13_lev2;T14_lev2;T15_lev2;T16_lev2;T17_lev2;T18_lev2;T19_lev2;T20_lev2;T21_lev2;T22_lev2;T23_lev2;T24_lev2;T25_lev2;T26_lev2;T27_lev2;T28_lev2;T29_lev2;T30_lev2;T32_lev2;T33_lev2;T34_lev2;T35_lev2;T36_lev2;T37_lev2
farp;8,82E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,91E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ferm;8,82E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,91E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sema;6,17E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000133498;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2081;0;0;0;0;0;0;0;7,02E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,79E-05;0;0;0;0;0;0;0
2082;0;6,44E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,81E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2083;0;6,44E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,81E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2084;0;0;0;0;0;0;0;0;0;5,11E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,26E-05;0;0;0;0;0
rtai;0;0;0;0;0;0;0;0;0;5,11E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,26E-05;0;0;0;0;0
2085;0;0;0;0;0;0;0;0;7,87E-06;0;0;0;0;0;0;0;0;2,20E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2086;0;0;0;0;0;0;0;0;0;5,11E-06;0;3,24E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2087;0;6,44E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,82E-05;0;0;0;0
2088;0;6,44E-06;0;0;0;0;0;0;0;0;0;3,24E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2089;0;0;0;0;0;0;0;0;7,87E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,45E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2090;8,82E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,91E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2091;0;0;0;0;0;0;0;7,02E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,79E-05;0;0;0;0;0;0;0
2092;0;0;0;0;0;0;0;7,02E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,38E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2093;0;0;0;0;0;0;0;0;0;5,11E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,01E-05;0;0;0;0;0;0;0;0;0;0;0
2094;0;0;0;0;0;0;0;0;0;5,11E-06;0;0;0;0;0;0;0;0;0;0;1,88E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2095;0;6,44E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,82E-05;0;0;0;0
2096;0;0;0;1,16E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,38E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2097;0;0;0;0;0;7,36E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,38E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2098;0;0;0;0;5,55E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,23E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2099;0;0;0;0;0;0;0;0;7,87E-06;0;0;0;0;0;0;0;0;0;2,46E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2100;0;0;0;1,16E-05;0;0;0;0;0;0;2,76E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2101;0;0;0;0;5,55E-06;0;0;0;0;0;0;0;0;0;0;0;0;2,20E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2102;0;0;0;0;0;0;7,38E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,06E-05;0
ptfe;0;0;0;0;0;0;3,69E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000153179;0
2103;0;0;0;1,16E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,81E-05;0;0;0;0;0;0;0;0;0;0
2104;0;0;0;0;0;0;0;0;0;5,11E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,24E-05;0;0;0;0;0;0;0;0;0;0;0;0;0
2105;0;0;0;0;0;0;0;7,02E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,00E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2106;0;0;0;0;0;0;7,38E-06;0;0;0;0;0;0;0;2,95E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2107;8,82E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,46E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2108;0;0;0;0;0;0;0;0;7,87E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,45E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tech;0;4,45E-06;0;0;0;0;0;1,98E-06;3,17E-05;0;0;0;0;0;2,90E-05;0;7,45E-06;0;0;0;0;0;0;0;9,60E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,75E-05;0;0;0;0
2109;0;0;0;0;0;1,71E-14;7,38E-06;0;0;0;0;0;0;3,48E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2110;0;0;0;0;0;0;0;0;0;5,11E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,66E-05;0;0;0
2111;0;0;1,26E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,07E-05;0;0
2112;0;0;0;0;0;0;0;7,02E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,00E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2113;0;0;0;0;0;0;0;0;0;5,11E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,24E-05;0;0;0;0;0;0;0;0;0;0;0;0;0
2114;0;6,44E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,82E-05;0;0;0;0
2115;0;0;0;0;0;0;0;0;7,87E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,45E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2116;0;0;0;0;0;0;0;0;7,87E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,71E-05;0;0;0;0;0;0
thei;0;0;0;0;0;0;0;0;7,87E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,71E-05;0;0;0;0;0;0
2117;0;0;0;0;0;0;7,38E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,05E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2118;0;0;0;0;0;0;0;0;0;5,11E-06;0;0;0;0;0;1,97E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2119;0;0;0;0;0;0;0;0;7,87E-06;0;0;0;0;0;0;0;0;0;2,46E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2120;8,82E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,91E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mnng;8,82E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,91E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2121;0;0;0;0;0;0;0;0;7,87E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,62E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2122;0;0;0;0;5,55E-06;0;0;0;0;0;0;0;0;0;0;0;0;2,20E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2123;0;0;0;0;5,55E-06;0;0;0;0;0;0;0;0;0;0;0;0;2,20E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2124;8,82E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,46E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2125;0;0;0;0;5,55E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,63E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2126;0;0;0;0;0;7,36E-06;0;0;0;0;0;0;0;3,48E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2127;0;0;0;0;0;0;0;7,02E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,00E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2128;0;0;0;0;0;0;0;7,02E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,79E-05;0;0;0;0;0;0;0
2129;0;0;0;1,16E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,00E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2130;0;0;0;0;0;7,36E-06;0;0;0;0;0;0;0;0;0;0;0;0;2,46E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2131;0;6,44E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,06E-05;0
2132;0;0;0;0;0;0;0;0;0;5,11E-06;0;0;0;0;0;1,97E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2133;0;0;1,26E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,07E-05;0;0
2134;0;0;0;0;0;0;0;0;7,87E-06;0;0;0;0;0;0;0;0;0;0;3,19E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2135;0;0;0;1,16E-05;0;0;0;0;0;0;5,55E-09;0;0;0;0;0;0;0;0;3,19E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2136;0;6,44E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,05E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2137;0;0;0;0;0;0;0;0;0;5,11E-06;0;0;0;0;0;0;0;0;0;0;0;0;4,00E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2138;0;0;0;0;0;0;0;0;0;5,11E-06;0;0;0;0;0;0;0;0;0;0;0;0;4,00E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2139;0;6,44E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,82E-05;0;0;0;0
2140;0;6,44E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,82E-05;0;0;0;0
2141;0;0;1,26E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,07E-05;0;0;0;0;0;0;0;0;0
2142;0;0;0;0;0;7,36E-06;0;0;0;0;0;0;0;3,47E-05;0;2,27E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2143;0;6,44E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,06E-05;0
2144;0;0;0;0;0;0;0;7,02E-06;0;0;0;0;0;0;2,95E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2145;8,82E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,07E-05;0;0
2146;0;0;0;0;5,55E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,23E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2147;0;0;0;0;0;0;7,38E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,45E-05
2148;0;0;0;0;0;7,36E-06;0;0;0;0;0;0;0;0;0;0;0;2,20E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2149;0;0;0;0;5,55E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,81E-05;0;0;0;0;0;0;0;0;0;0
2150;0;6,44E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,06E-05;0
2151;0;0;0;0;0;0;0;0;0;5,11E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,24E-05;0;0;0;0;0;0;0;0;0;0;0;0;0
2152;8,82E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,91E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2153;0;0;0;0;0;0;0;0;7,87E-06;0;0;0;2,98E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cuet;0;0;0;0;0;0;0;0;7,87E-06;0;0;0;2,98E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
curb;2,87E-05;7,06E-06;0;9,04E-06;7,78E-06;0;0;0;3,75E-06;0;0;0;5,82E-05;0;0;0;3,10E-05;0;0;0;0;0;0;0;0;0;0;5,20E-06;0;0;0;0;0;0;0;7,67E-05;0;0;0;0;0;0;0;0;2,88E-05;0
pwid;0;0;0;0;0;0;0;0;0,00013384;0;0;0;4,64E-07;0;0;0;0;0;0,000417698;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2154;0;6,44E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,19E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2155;0;0;0;0;5,55E-06;0;0;0;0;0;0;0;2,98E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
evil;0;0;0;0;2,78E-05;0;0;0;0;0;0;0;0,000118293;0;0;0;0;0;0;3,27E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2156;0;0;0;0;0;7,36E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,66E-05;0;0;0
2157;0;6,44E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,82E-05;0;0;0;0
2158;0;6,44E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,06E-05;0
iclr;0;6,44E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,06E-05;0
2159;0;0;0;0;0;0;0;7,02E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,79E-05;0;0;0;0;0;0;0
2160;0;0;0;1,16E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,06E-05;0
2161;0;0;0;0;5,55E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,23E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2162;0;0;0;0;0;0;0;7,02E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,45E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2163;0;0;0;0;0;0;0;0;7,87E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,66E-05;0;0;0
wada;0;0;0;0;0;0;0;0;7,87E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,66E-05;0;0;0
2164;0;0;0;0;0;0;0;0;0;5,11E-06;0;0;0;0;0;1,97E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cvpr;0;0;0;0;0;0;0;0;0;5,11E-06;0;0;0;0;0;1,97E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
eccv;0;0;0;0;0;0;0;0;0;5,11E-06;0;0;0;0;0;1,97E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jain;0;0;0;0;0;0;0;0;0;5,11E-06;0;0;0;0;0;1,97E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2165;0;0;1,26E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,07E-05;0;0;0;0;0;0;0;0;0
flip;0;0;8,44E-05;0;0;0;3,76E-05;0;1,33E-05;3,85E-05;0;0;0;0;0;0;0;0;0;0;0;0;0,000250173;0;5,92E-05;0;0;0;0;0;0;0;0;0;0;0;0,000237417;0;0;0;0;0;0;0;0;0,000129363
2166;0;0;0;0;0;0;0;0;0;5,11E-06;0;0;0;0;0;0;0;0;0;0;1,88E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2167;0;0;0;1,16E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,19E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2168;0;0;0;0;0;7,36E-06;0;0;0;0;0;0;0;3,48E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2169;0;0;0;0;0;0;0;7,02E-06;0;0;0;0;0;0;2,95E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
nook;0;0;0;0;0;0;0;7,02E-06;0;0;0;0;0;0;2,95E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2170;0;0;0;0;0;0;0;0;0;5,11E-06;0;0;0;0;0;1,97E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
crfs;0;0;0;0;0;0;0;0;0;5,11E-06;0;0;0;0;0;1,97E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2171;0;0;0;1,16E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,91E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2172;0;0;0;0;0;7,36E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,51E-05;0;0;0;0;0;0;0;0
2173;0;0;1,26E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,24E-05;0;0;0;0;0;0;0;0;0;0;0;0;0
2174;0;0;0;0;0;0;0;7,02E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,79E-05;0;0;0;0;0;0;0
2175;0;0;0;0;0;0;0;0;7,87E-06;0;0;0;0;3,48E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2176;0;0;0;1,16E-05;0;0;0;0;0;0;2,76E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2177;0;0;0;0;0;0;0;0;0;5,11E-06;0;0;0;0;2,95E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
nedi;0;0;0;0;0;0;0;0;0;2,55E-05;0;0;0;0;0,000147629;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2178;0;0;0;0;0;0;0;7,02E-06;0;0;0;0;0;0;2,95E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2179;8,82E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,91E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2180;0;0;0;0;0;0;0;7,02E-06;0;0;0;0;0;0;2,95E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2181;8,82E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,81E-05;0;0;0;0;0;0;0;0;0;0
2182;0;0;1,26E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,07E-05;0;0;0;0;0;0;0;0;0
2183;0;0;0;0;0;0;7,38E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,38E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2184;0;0;0;0;0;0;7,38E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,45E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2185;0;0;0;0;5,55E-06;0;0;0;0;0;0;0;2,98E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2186;0;0;0;0;0;0;0;7,02E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,05E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2187;0;0;0;0;0;0;0;0;7,87E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,45E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2188;0;0;0;0;5,55E-06;0;0;0;0;0;0;0;2,98E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
